Sample,Method,Confidence_categories,Total_pergroup,Rate
0018,12S - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,99,3.11712846347607
0018,12S - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,3077,96.8828715365239
0018,COI - Barque - VSEARCH - Curated,Confidence score<br>above threhold,3,75
0018,COI - Barque - VSEARCH - Curated,Confidence score<br>below threhold,1,25
0018,COI - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,4,80
0018,COI - Barque - VSEARCH - Non-curated,Confidence score<br>below threhold,1,20
0018,COI - DADA2 - RDP - Curated,Confidence score<br>above threhold,73,9.25221799746515
0018,COI - DADA2 - RDP - Curated,Confidence score<br>below threhold,716,90.7477820025348
0018,COI - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,77,9.73451327433628
0018,COI - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,714,90.2654867256637
allalberta,12S - Barque - VSEARCH - Curated,Confidence score<br>above threhold,81,100
allalberta,12S - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,69,98.5714285714286
allalberta,12S - Barque - VSEARCH - Non-curated,Confidence score<br>below threhold,1,1.42857142857143
allalberta,12S - DADA2 - RDP - Curated,Confidence score<br>above threhold,127,3.99874055415617
allalberta,12S - DADA2 - RDP - Curated,Confidence score<br>below threhold,3049,96.0012594458438
allalberta,12S - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,99,3.11712846347607
allalberta,12S - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,3077,96.8828715365239
allalberta,COI - Barque - VSEARCH - Curated,Confidence score<br>above threhold,555,100
allalberta,COI - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,382,100
allalberta,COI - DADA2 - RDP - Curated,Confidence score<br>above threhold,73,9.25221799746515
allalberta,COI - DADA2 - RDP - Curated,Confidence score<br>below threhold,716,90.7477820025348
allalberta,COI - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,77,9.73451327433628
allalberta,COI - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,714,90.2654867256637
blindspot,12S - Barque - VSEARCH - Curated,Confidence score<br>above threhold,160,100
blindspot,12S - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,139,100
blindspot,12S - DADA2 - RDP - Curated,Confidence score<br>above threhold,127,3.99874055415617
blindspot,12S - DADA2 - RDP - Curated,Confidence score<br>below threhold,3049,96.0012594458438
blindspot,12S - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,99,3.11712846347607
blindspot,12S - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,3077,96.8828715365239
blindspot,COI - Barque - VSEARCH - Curated,Confidence score<br>above threhold,1046,100
blindspot,COI - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,775,100
blindspot,COI - DADA2 - RDP - Curated,Confidence score<br>above threhold,73,9.25221799746515
blindspot,COI - DADA2 - RDP - Curated,Confidence score<br>below threhold,716,90.7477820025348
blindspot,COI - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,77,9.73451327433628
blindspot,COI - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,714,90.2654867256637
even,12S - Barque - VSEARCH - Curated,Confidence score<br>above threhold,21,100
even,12S - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,18,100
even,12S - DADA2 - RDP - Curated,Confidence score<br>above threhold,127,3.99874055415617
even,12S - DADA2 - RDP - Curated,Confidence score<br>below threhold,3049,96.0012594458438
even,12S - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,99,3.11712846347607
even,12S - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,3077,96.8828715365239
even,COI - Barque - VSEARCH - Curated,Confidence score<br>above threhold,32,100
even,COI - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,22,100
even,COI - DADA2 - RDP - Curated,Confidence score<br>above threhold,73,9.25221799746515
even,COI - DADA2 - RDP - Curated,Confidence score<br>below threhold,716,90.7477820025348
even,COI - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,77,9.73451327433628
even,COI - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,714,90.2654867256637
lowrelat,12S - Barque - VSEARCH - Curated,Confidence score<br>above threhold,149,100
lowrelat,12S - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,133,100
lowrelat,12S - DADA2 - RDP - Curated,Confidence score<br>above threhold,127,3.99874055415617
lowrelat,12S - DADA2 - RDP - Curated,Confidence score<br>below threhold,3049,96.0012594458438
lowrelat,12S - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,99,3.11712846347607
lowrelat,12S - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,3077,96.8828715365239
lowrelat,COI - Barque - VSEARCH - Curated,Confidence score<br>above threhold,1087,100
lowrelat,COI - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,945,100
